	Estimate	Std. Error	z value	Pr(>|z|)
pos_seq137	-0.764068094909562	8.40116068537935	-0.0909479205937913	0.92753397281377
pos_seq138	-0.936368093243621	8.40689957639633	-0.111380906210967	0.911314300479479
pos_seq139	-0.901556025038725	8.40143252952272	-0.107309797688745	0.914543211995798
pos_seq140	-0.561097887080497	8.40161994904474	-0.0667844880491521	0.946753272580267
pos_seq141	-0.33954639099077	8.40068805137874	-0.0404188786578074	0.967759179554391
pos_seq142	-0.51563551300351	8.43215055767921	-0.0611511273993936	0.951238851528337
pos_seq143	-0.0693484103752161	8.40820161889956	-0.00824771021419587	0.993419353965973
pos_seq144	-0.697957069797947	8.43017796167543	-0.0827926851569375	0.934016385558742
pos_seq145	-1.61424780167263	8.41477584267871	-0.191834914185754	0.847871521282099
pos_seq146	-14.5708776873169	360.093704668417	-0.0404641278045505	0.967723105470739
pos_seq147	0.0917280378047111	8.40129908953035	0.0109183159446165	0.991288617358273
pos_seq148	-0.623849097644434	8.41357686312626	-0.074147904962816	0.940892697492786
pos_seq149	-1.10342217790714	8.4400363313885	-0.130736662092735	0.895983629082215
pos_seq150	0.554805898697459	8.42383434594019	0.0658614445528412	0.947488136693676
pos_seq151	-0.387802141493931	8.40719008940882	-0.0461274382248684	0.963208676738521
pos_seq152	-0.605583749666251	8.40188574608364	-0.0720771226802901	0.942540532319488
pos_seq153	-0.0827714307076155	8.40207833335046	-0.00985130433491318	0.992139923501984
pos_seq154	0.719108949988832	8.40163574763255	0.0855915409319508	0.931791123141051
pos_seq155	0.762445263476099	8.40387774455491	0.0907254111317965	0.927710778731665
pos_seq156	-0.894667364043822	8.4041755822037	-0.106455101430571	0.915221276783512
pos_seq157	-0.170863028480305	8.40069196237636	-0.0203391612554702	0.983772816076539
pos_seq158	-0.361484833176777	8.41494524992361	-0.0429574789188388	0.96573542944923
pos_seq159	-0.424981144735708	8.4016268263904	-0.0505831969828506	0.959657652548374
pos_seq160	1.28911115175065	8.40498396567796	0.153374611660746	0.878102864947007
pos_seq161	1.01410469779771	8.40103549698393	0.120711869169198	0.903919257509165
pos_seq162	-14.5708776917509	394.444999829458	-0.0369402012905495	0.970532685613487
pos_seq163	-0.00480988923955779	8.51849257509867	-0.000564640891232106	0.999549481774427
pos_seq164	-14.5708777954521	881.84581450905	-0.0165231580801505	0.986817027132552
pos_seq165	-0.410274997346303	8.42524445109421	-0.0486959161514916	0.961161630455617
pos_seq166	0.688337291323536	8.4449612006286	0.08150863869834	0.935037455052032
pos_seq167	1.38148447188133	8.474450313074	0.163017590621782	0.870504584624041
pos_seq168	-0.51563551300397	8.41635684438495	-0.0612658805392718	0.951147463122678
pos_seq169	-0.00480988924014672	8.51849257510131	-0.000564640891301067	0.999549481774372
pos_seq170	0.554805898697336	8.42383434594057	0.0658614445528236	0.94748813669369
pos_seq171	-14.5708777931446	881.845814346941	-0.0165231580805712	0.986817027132217
pos_seq172	-1.90192987412488	8.42327023778688	-0.225794711606521	0.821361090398324
pos_seq173	1.04970707956534	8.40147555038177	0.124943180905602	0.900568532777293
pos_seq174	-0.807156361763274	8.40185669347082	-0.0960688085040208	0.923465923904156
pos_seq175	0.572077485206455	8.4016644803067	0.0680909701342384	0.945713218464025
pos_seq176	-0.394866371993345	8.40144718861725	-0.046999804096648	0.96251338366587
pos_seq177	-0.481733961328322	8.40320686474442	-0.0573273952530471	0.954284397976455
pos_seq178	-0.75988802752805	8.40101846322748	-0.0904518935238856	0.927928120588709
pos_seq179	1.8669922876637	8.43472941022904	0.221345842511503	0.824823157910317
pos_seq180	-0.157150613819872	8.4019307231642	-0.0187041073055513	0.985077151672945
pos_seq181	0.394346049676844	8.40240568257157	0.0469325172545291	0.962567011618891
pos_seq182	-0.49950613107387	8.40091586614464	-0.0594585327400861	0.952586893091316
pos_seq183	-1.47316920341192	8.40245617022	-0.175326020578736	0.860823466960767
pos_seq184	1.05124278501182	8.41053402551081	0.124991205293647	0.900530512896042
pos_seq185	0.7439071424766	8.40303264460719	0.0885284127694085	0.929456702863992
pos_seq186	1.38148447188222	8.47445031307549	0.163017590621859	0.870504584623981
pos_seq187	-0.890603649989553	8.4008407097143	-0.106013633725932	0.915571534997627
pos_seq188	-0.0704071717237174	8.40072837823486	-0.0083810794199861	0.99331294441393
pos_seq189	0.530113286107327	8.40283023036132	0.0630874683379784	0.949696853238417
pos_seq190	0.602505855472234	8.40093062303156	0.0717189419253666	0.942825581503117
pos_seq191	1.17384510710352	8.41992820690003	0.139412721612231	0.889124020136163
pos_seq192	-0.100120069042288	8.41186458523634	-0.011902244505696	0.99050360708579
pos_seq193	-0.221722890801408	8.40086636753493	-0.0263928601052689	0.978943988978399
pos_seq194	-0.147259054784389	8.40089467325045	-0.0175289728668163	0.986014619389241
pos_seq195	0.378938078149789	8.40074104160058	0.0451076966035833	0.964021466666193
pos_seq196	0.124401842242249	8.401815961431	0.0148065421586622	0.988186520266431
pos_seq197	-0.0289074408170204	8.40094239347083	-0.00344097595996934	0.997254503825371
pos_seq198	0.734007328155438	8.40135362878732	0.0873677457928154	0.93037920644524
pos_seq199	0.755476594159299	8.40295425894264	0.0899060700414145	0.928361857494299
pos_seq200	0.370151764576823	8.40096353756356	0.0440606322026931	0.964856073241743
pos_seq201	0.727440017335707	8.40107300111553	0.0865889413458394	0.930998256411068
pos_seq202	0.28230254491897	8.40077025498648	0.0336043644035382	0.97319264194471
pos_seq203	-0.69795706979754	8.4132510239384	-0.0829592588895336	0.933883934596233
pos_seq204	0.297470982635106	8.4066073195814	0.0353853785869373	0.971772443608468
pos_seq205	0.192358175673087	8.40191997680481	0.0228945498414803	0.981734387854022
pos_seq206	0.742404512592013	8.41025309236399	0.0882737421143809	0.929659108226346
pos_seq207	-0.515635513003924	8.4034126368323	-0.0613602515178042	0.951072307374999
pos_seq208	0.362914890887171	8.40425529269686	0.0431822782921096	0.965556231784627
